consumer 消费者
speaker 说话者
atmosphere 大气压
latter 后者；后一半的
reform 改革
economy 经济
primary 最初的
differ 与....不同
capable 有本领的
distinct 清楚的
define 给...下定义
resist 抵抗
argument 争论
transform 改变
despite 不管
strengthen 加强
distinguish 区别
emotional 感人的
data 资料
achievement 完成
strategy 战略
sufficient 足够的
ban 禁止
poverty 贫困
wage 工资
wisdom 智慧
assemble 集合
predict 预言
accurate 正确无误的
adapt 使适应
risk 冒险
liquid 液体
thunder 雷；打雷
virtue 美德
female 女性
recommend 推荐
equality 同等
economic 经济学的
economics 经济学
emit 发出
bar 条，酒吧；阻拦
arrange 安排
conference 会议
improvement 改进
previous 先前的
sensible 明智的
exchange 交换
consumption 消耗
intelligence 智力
debate 争辩
criticize 批评
rail 栏杆
reveal 展现
spray 喷雾
investment 投资
reinforce 加强
cope 竞争
exceed 超过
confuse 混淆
aware 知道的
superior 优良的；上级
emphasize 强调
region 地区
pop 流行的
intensity 强烈
appreciate 欣赏
colleague 同事
transportation 运输
everyday 每日的
fame 名声
familiar 密友
urban 城市的
span 跨度
essential 本质的
inhabitant 居民
weapon 武器
accumulate 堆积
eliminate 除去
remarkable 显著的
remedy 药品
mislead 使误入歧途
whale 庞然大物
cliff 悬崖
discard 丢弃
aspect 样子
shortage 不足
mobile 可动的
crime 犯罪
relax 放松
fleet 舰队
display 展示
mask 面具
reverse 相反；倒转
security 安全
emphasis 强调
lucky 幸运的
significant 重要的
aircraft 飞机
cease 中止
transmit 传输
gasoline 汽油
conduct 行为；引领
abandon 放弃
stimulate 刺激
bind 绑
pressure 压力
characterize 描述...特征
cycle 自行车；循环
enable 使能够
craft 工艺
consist 在于，由...组成
vital 生死攸关的
powerful 强大的
navy 海军
authority 权力，当局
shrink 收缩
rid 使去掉
surround 包围
alike 同样的
arouse 唤醒
excessive 过多的
dispute 争论
behave 举动
electrical 电的
highly 高度地
select 选择；选择的
contrast 对比
infant 婴儿
athlete 运动员
overseas 外国的
elevator 电梯
apart 分离
reality 现实
commitment 承诺
gaze 注视
tough 坚韧的
expense 花费
sensitive 敏感的
anxiety 焦虑
evidence 明显
image 印象
journal 日报
delivery 递交
commit 提交
advertisement 广告
coordinate 坐标；协作
urgent 急迫的
talent 才能
peculiar 古怪的
handle 把手
handsome 英俊的
represent 描述
exception 例外
specific 明确的
balance 天平；使平衡
indoor 室内的
release 释放
increasingly 不断增加地
reputation 名誉
forbid 禁止
inspire 鼓舞
usage 使用
distress 苦恼
communicate 传达，交流
appoint 任命
reaction 反应
salad 色拉
internal 内部的
prior 优先的
generous 慷慨的
fundamental 基本的
version 版本
appointment 约定
definite 明确的
cabinet 内阁
aluminum 铝
always 总是
item 项目，一则
code 代码
prosperity 兴旺
responsibility 责任
analyze 分析
interfere 干涉
generate 产生
equip 装备
worldwide 全世界的
mission 使命
specialize 专攻
employment 雇用
switch 开关
observe 观察
negative 否定的
invention 发明
humor 幽默
inferior 下等的
typical 典型的
command 指挥
confirm 证实
intelligent 理智的
label 标签
pigeon 鸽
ancient 古代的
slight 微小的
domestic 家里的
vacant 空的
convert 变换
forth 向前
relate 叙述
disturb 扰乱
engine 发动机
slice 一份
navigation 航海
electronic 电子的
electronics 电子学
parliament 国会
necessarily 必要的
emerge 显现
numerous 众多的
genuine 真正的
construct 建设
annoy 使生气
character 性格
strain 拉紧；负担
obtain 获得
necessity 必要性
proportion 比例
loyalty 忠心
lubricate 行贿，润滑
insert 插入
violence 暴力
naturally 自然的
export 出口
tender 敏感的
absence 缺席
classify 分类
mood 心情
crisis 危机
comprehension 理解
discipline 纪律
tax 税
influential 有影响力的
inform 通知
original 最初的
management 经营
reluctant 不愿的
housewife 家庭主妇
expose 受到
entitle 授权
envy 嫉妒
tendency 趋势
commission 委员会
register 登记
media 媒介
county 县
reproduce 生殖
neighborhood 邻居
disposal 布置
curiosity 好奇心
passive 被动的
gap 缺口
dump 倾倒
rarely 很少
suggestion 建议
locate 查出，位于
interaction 互动
undoubtedly 无疑
somewhat 一点儿
sum 和
rack 挂物架
transmission 发射
external 外部的
crack 裂纹；裂开
convenience 便利
adequate 足够的
volunteer 自愿
phenomenon 现象
comparison 比较
typewriter 打字机
channel 海峡
sophisticated 尖端的
conclude 结束
section 章节
participate 参与
depression 消沉
queue 行列
vice 恶习
launch 发射
manner 方式
exhauste 耗尽
undertake 承诺
motivate 促进
proposal 提议
tremendous 巨大的
perspective 前景
aggressive 侵略的
academic 学术的
lag 落后
application 申请
distribute 分发
contrary 相反的
comprise 包含
element 元素
unlike 不同的
mostly 主要地
motel 汽车旅馆
background 背景
visual 看的
refine 精炼
responsible 可靠的
petroleum 石油
legal 法律的
civilization 文明
pump 泵
quote 引用
outward 外面的
decrease 减少
fatal 致命的
accuse 控告
accustomed 习惯的
objective 目标
conservation 保存
optical 光学的
delicate 纤弱的
mechanic 技工
mechanics 力学
scholarship 奖学金
carpenter 木匠
fluent 流利的
swallow 燕子；吞
episode 片段
attraction 吸引
orbit 轨道
mixture 混合
screen 屏幕
administration 经营
abuse 滥用
omit 省略
accommodation 住宿
acceptance 接受
conflict 战斗
soda 苏打
scheme 计划
conservative 保守的
attribute 归因于；属于
leisure 空闲
retire 退休
mere 仅仅
comment 注释
salary 薪水
preserve 保护
overall 全面的
ensure 确保
impose 征（税）；把...强加给
unfortunately 不幸地
evolution 进化
access 通路
identical 同一的
joint 接头
intention 意图
fee 费
debt 债
advisable 可取的
sequence 先后
court 法庭
introduction 介绍
competent 有能力的
federal 联邦的
temper 脾气；调和
percentage 百分数
considerate 体谅的
illegal 非法的
largely 主要地
intellectual 知识分子；智力的
senior 年长的；大四
mature 成熟的
interval 间隔
grasp 抓紧
output 产量
drum 鼓
cautious 小心的
rude 粗鲁的
elect 选举
stir 搅拌
insight 见识
durable 持久的
horizontal 水平的
horn 号
philosophy 哲学
appropriate 适当的；盗用
faulty 有错误的
genius 天才
downward 向下的
executive 总经理
surplus 过剩
librarian 图书管理员
stretch 伸展；拉长
handy 手边的
deliberate 研讨；故意的
capture 捕获
phrase 短语
alternative 取舍
award 授予；奖金
incline 倾斜；斜面
cancer 癌
collection 收藏（品）
glimpse 一瞥
demonstrate 论证
skim 撇去
instruct 教
constitution 构成；宪法
manufacture 制造
drama 剧本，戏剧
relief 减轻
agent 代理人
trail 踪迹
connection 联系
mill 工厂，磨粉机
commander 指挥官
handful 一把
medium 媒体；中等的
leadership 领导
creature 人，生物
instrument 工具，乐器
substitute 代用品；代替
chin 下巴
steady 稳定的；（使）稳固
specialist 专家
adjust 调节；适应
enforce 实施，坚持
organ 器官，机构
grocer 食品商
creep 爬
cooperate 合作
sympathetic 有同情心的；交感神经
storage 贮藏
depart 离开；过去的
render 使得
privilege 特权；给予优惠
teenager 十几岁的青少年
contribution 贡献
feedback 反馈
acquisition 取得
existence 存在
explore 探测
wax 蜂蜡；打蜡
mess 混乱；弄脏
prince 王子
generator 发电机
fatigue 疲劳
accompany 陪伴
rural 乡下的
honey 蜂蜜
attain 达成
billion 十亿
uncover 揭开
locomotive 机车；运动的
trap 陷阱
association 联盟
spite 怨恨
interview 面试
pessimistic 悲观的
bark 叫；树皮
devil 魔鬼
universe 宇宙
reduction 减少
psychological 心理的
invade 入侵
identity 身份
permanent 永久的
screw 螺丝；拧
interpretation 解释，演出
editor 编辑
guarantee 保证
classic 名著；不朽的
pose 姿势
delegate 代表
artificial 人工的
cassette 盒子
romantic 浪漫的
annual 每年的
apartment 房间，公寓
deposit 存放；存款
fantasy 幻想
mud 泥；弄脏
author 作家
assure 使确信
correspond 通信
outlet 出路，电源插座
topic 话题
rival 竞争者；竞争
initiative 创始的
slide 滑动；滑坡
extreme 末端的
misunderstand 误解
evident 明显的
casual 偶然的
routine 常规；常规的
trumpet 小号
ancestor 祖先
staff 全体职工
notion 概念
counter 柜台；相反；反对
fabric 织物
occasion 场合
lump 团；成团
hopeless 绝望的
document 文献
precaution 预防
intend 企图
cash 现金；付
hardware 五金
tidy 整洁的；整理
resolve 决心；解决
protective 防护的
quit 离开
severe 严厉的，剧烈的
extension 延长
trial 审讯
expectation 预期
telescope 望远镜；缩短
passport 护照
exploit 开拓；业绩
democracy 民主
requirement 需求
file 文件；挫
neglect 忽视
exaggerate 夸大
thirst 渴
overnight 通宵的；一夜之间
plot 情节；标绘
estate 不动产
liter 公升
variation 变化
copper 铜
devise 设计
principle 原理
sportsman 运动员
creative 创造性的
former 以前的
unity 团结
similarly 同样地
assumption 假定
reception 接待
print 打印/输出
coding 编码
syntax 语法
error 错误
invalid 无效
identifier 名称/标识符
character  字符
user 用户
name 姓名/名称
attribute 字段/属性
value 值
key 键
upper 上面
lower 下面
capitalize 用大写字母写或印刷
title 标题
replace 替换
old 旧的
new 新的
count 计数
swap 互换
case 情形
path 路径
new 新的\新建
project 项目
test 测试
file 文件
data 数据
strip 去除
index 索引
find 查找
count 计数
start 开始
end 结束
chars 字符
sub 附属
input 输入
prompt 提示
ID 身份证
format 格式化
args（argument） 参数
kwargs 关键字参数
year 年
month 月
day 日
tuple 元组
max 最大
min 最小
iterable 可迭代
key 关键字
function 方法/函数
stop 停止
object 对象
list 列表
reverse 反向
true 真
false 假
append 附加
extend 扩展
insert 插入
pop 取出
remove 移除
del（delete） 删除
clear 清除
sort 排序
set 集合/设置
add 添加
update 更新
discard 丢弃
intersection 相交
union 联合
difference 差数
symmetric 对称
in 在…里面
not 不/不是
disjoint 不相交
subset 子集
superset 父集/超集
copy 复制
dict 字典
key 键/关键字
value 值
item 项
mapping 映射
seq（sequence） 序列
from 从/来自
get 获取
default 默认
none 没有
arg 可变元素
kwargs 可变关键字元素
for_in 循环的使用
while 循环的使用
range 范围
separate 分隔
flush 冲刷
step 步长
continue 继续
break 突破/跳出
if 如果
else 否则
module 模块
sys(system) 系统
path 路径
import 导入
from 从…
birthday 出生日期
year 年份
month 月份
day 日期
type 类型
error 错误
missing 丢失
required 必须
positional 位置
unsupported 不支持
create 创建
info 信息
age 年龄
height 高度
width 宽度
weight 重量
splicing 拼接
params 参数
volume 体积
operand 操作数
inside 内部
outside 外部
radius 半径
perimeter 周长
case 情形
synthesis 合成
execute 执行
recursion 递归
Infinite 无穷
maximum 最大值
depth 深度
exceeded 超过
factorial 阶乘
search 查询
power 幂
lower 下方
upper 上方
middle 中间
assert 异常
assertion 异常
square 平方
even 偶数
comprehension 理解
lambda 希腊字母λ的英文名称，大名鼎鼎的游戏半条命里面的logo就是这个。
regular 规则
expression  表达式
group 组
match 匹配
span 跨度
ignore case 忽略 大小写
multi line 多 行
dot all 点 全部
unicode 万国码
verbose 累赘
pos 位置
position 位置
push 添加⼀个数组元素
document ⽂档
pop 删除最后⼀个数组元素
console 控制台
shift 删除第⼀个数组元素
string 字符串
concat 组合数组
undefined 未定义
typeof 获取类型
join 数组转化为指定分隔符
slice 返回指定数组
length 长度
Array 数组
number 数字
boolean 布尔
alert 提⽰框
parseInt 转化为整型数值
continue 继续
isNaN ⾮数字
sort 排序
break 截断跳出
reverse 倒序
object 对象类型
parseFloat 转化为浮点值
index 索引
floor 向下取整
variable 变量
ceil 向上取整
round 四舍五⼊
abs 返回绝对值
eval 解析字符串并运算
max ⽐较最⼤值
return 返回
min ⽐较最⼩值
addEventListener 事件名函数
tofixed 保留⼩数点
window.status 浏览器状态栏信息
window.screen 屏幕信息
screen.width 屏幕宽度
screen.height 屏幕⾼度
screen.availwidth 去掉任务栏宽度
screen.avaiheight 去掉任务栏⾼度
history 浏览历史记录
location 地址栏对象
onchange 内容改变事件
onkeydown 键盘按下事件（前）
onkeyup 键盘松开事件
onkeypress 键盘按下事件（后）
navigator ⽤于获取⽤户浏览器信息
appCodeName 浏览器代码名的字符串表⽰
appName 返回浏览器的名称
appVersion 返回浏览器的平台和版本信息
platform 返回运⾏浏览器的操作系统平台
userAgent 返回由客户机发送服务器的
user-agent 头部的值
Exception 异常意外情况
onload 当页⾯加载完成之后触发
